cartodb_id,the_geom,bldgpostal,objectid,id,cty_fips,st_fips,borough,state,po_name,postalcode,latitude,longitude
225,0106000020E6100000010000000103000000010000000500000012A4B162B87E52C0C5BE359290604440E8F17502AF7E52C006C3DF278860444092675EE7B17E52C093405A6E806044406400AC5CBB7E52C0CD7C146B8860444012A4B162B87E52C0C5BE359290604440,1,225,http://nyc.pediacities.com/Resource/PostalCode/10175,061,36,Manhattan,NY,New York,10175,40.754163533,-73.979809638
111,0106000020E610000001000000010300000001000000080000001614F4728A7E52C09A4397C517614440163A8AE5917E52C0131C053E03614440EDF81A74997E52C0CEFA6AB2EE6044401BCDC44ACE7E52C0339A3B4A1B614440116CF5DBB77E52C0C22DCADF58614440BAF01F5D977E52C07BA01D823D6144402776E7EB9E7E52C0732E070B296144401614F4728A7E52C09A4397C517614440,0,111,http://nyc.pediacities.com/Resource/PostalCode/10020,061,36,Manhattan,NY,New York,10020,40.758873595,-73.979256087
112,0106000020E61000000100000001030000000100000018000000C41F5900AE6D52C01E58935546614440454B7BDA976D52C0C101E95D456144409572980A1B6D52C09849EBB1AC604440DD68F9AC476D52C0E2BAED3558604440C511A8D77B6D52C0458CDA52016044409461896A866D52C046DEDAC7EE5F44405635A92AC46D52C056143C5E3B604440FBFBCD67C96D52C033EEFCC9A3604440C07DA942CB6D52C0E049C8F4A5604440FD97A13AC86D52C0B02E4884B46044405DAB6966E86D52C08D68E639C3604440EB0705ACEF6D52C01D6B943AAF604440F8FAD162266E52C0C8D3B6D3CD604440789B0D90326E52C03BEBAD6B9F604440D46041CA406E52C0A695AA587A60444038308460466E52C03EB2A9E58C604440A69A0B153C6E52C0A08CBF3DA760444060E70BF92A6E52C07C8B981CE56044408DC0FD751B6E52C0328D8F8B04614440A53A508C0C6E52C0D1F2F87A1961444077569C83F96D52C0CDBEA77F2C614440E3B43551DF6D52C0223794F63B6144402B918ABCC46D52C0748A1B8843614440C41F5900AE6D52C01E58935546614440,0,112,http://nyc.pediacities.com/Resource/PostalCode/11005,081,36,Queens,NY,Floral Park,11005,40.755497055,-73.712880149
127,0106000020E6100000010000000103000000010000000D000000D5D08DD6C77F52C07612D4F7615D4440BD141D87757F52C03BD0B944115D4440A314B0CF867F52C0AD27FC80B05C444064A8F437A47F52C0724BC32E175C44403F29A90AFB7F52C03F328129615C44408467DEF34A8052C07850B8B4B15C4440F44F7D1D3D8052C0BE5F29C3F55C4440E4C8E726338052C0A07A704F0A5D444066403835238052C093786943305D44406D2FE9032E8052C034B5BD133B5D4440A976910B238052C026D296F2695D4440C52E19A30F8052C0D98AD38BA85D4440D5D08DD6C77F52C07612D4F7615D4440,0,127,http://nyc.pediacities.com/Resource/PostalCode/10012,061,36,Manhattan,NY,New York,10012,40.725544802,-73.997934059
226,0106000020E61000000100000001030000000100000005000000506E6E474F7E52C0D6E4D2FDB06144400BC133F14B7E52C0EFAA2025BA6144404177649D417E52C0A52A3BB7B16144408BC14D6A447E52C0048699FFA9614440506E6E474F7E52C0D6E4D2FDB0614440,1,226,http://nyc.pediacities.com/Resource/PostalCode/10151,061,36,Manhattan,NY,New York,10151,40.763239196,-73.973172867
140,0106000020E610000001000000010300000001000000140000001F38DECA606E52C07DC152D4575A4440C55834B4606E52C06755224EFF574440E2EDBF746F6E52C054DCC93FEC5744403BF4F915786E52C025BAFB44D5574440FBD99018836E52C0FE611EAC7B57444082D273B1DC6E52C04AD3760CB2574440F4BC7430D16F52C0991521DB4658444086B3FE3EE16F52C048DE6E355658444000BBDC7ED56F52C07EBE6BC57A584440D5A4DDF0D46F52C07674EA4782584440E350310AD06F52C0E30373D68358444061EDD9B7B26F52C0D008DBC1D8584440BBCAB3C3E96F52C0C6DEF799CD5944407012526E9B6F52C02D03FAB6F5594440D395B7C3946F52C0111D5DBBEB5944404630BFE46E6F52C04012F1D7D4594440D352394B6D6F52C03B4DD981DA594440B1242AC2926E52C074A056E3CC594440A72217EB956E52C05C18A582585A44401F38DECA606E52C07DC152D4575A4440,0,140,http://nyc.pediacities.com/Resource/PostalCode/11411,081,36,Queens,NY,Cambria Heights,11411,40.69450897,-73.734965269
227,0106000020E610000001000000010300000001000000130000003641F390AC7E52C0A127CA2F846044403FCAFBF7A97E52C0A609EA0182604440194A49F9A77E52C036B4785887604440AC5384DFA87E52C061F9EF198860444020943F69A77E52C0D0AC6A278C604440C8B4E5E89F7E52C0799CB2D185604440974AA9C6A27E52C04CB3DAF77D604440E1B5C6B1A77E52C0A238812182604440F1DA526AA87E52C05D51472080604440828A9F7DA37E52C00D01B7027C6044404B806937A47E52C0750ADF057A60444006484D83A87E52C045236AA77D604440788A824AA87E52C0756A60507E604440D2AD9DE3A87E52C0CDDA1CCF7E604440EBA60ED5A97E52C0DBF6B92F7C604440C083DDEEA47E52C0C03A5F0F786044400D925CA7A57E52C031F7131676604440654447EBAE7E52C053111FE97D6044403641F390AC7E52C0A127CA2F84604440,1,227,http://nyc.pediacities.com/Resource/PostalCode/10173,061,36,Manhattan,NY,New York,10173,40.753955291,-73.978949008
228,0106000020E61000000100000001030000000100000006000000DFFECAE08B7E52C007035FE81660444029D671AD8E7E52C0BFA29B5E0F604440BD8E28229D7E52C0963FCA3D1B6044404861F697977E52C0C20B73682A60444043C865608A7E52C0A6196F9F1F604440DFFECAE08B7E52C007035FE816604440,1,228,http://nyc.pediacities.com/Resource/PostalCode/10178,061,36,Manhattan,NY,New York,10178,40.750882076,-73.977741131
210,0106000020E610000001000000010300000001000000060000003C83B9198B7E52C0BA06A2C25961444075192104877E52C039071B59626144400AD9C36B777E52C0FF48702C5561444099337A467D7E52C0ACD0342545614440BCE431948D7E52C0B3B530EB526144403C83B9198B7E52C0BA06A2C259614440,1,210,http://nyc.pediacities.com/Resource/PostalCode/10103,061,36,Manhattan,NY,New York,10103,40.760372994,-73.976710619
21,0106000020E61000000100000001030000000100000005000000A27B15FE4C7352C0B1A44562C1594440BA8EDAC0207352C0C087CF12DF5944409347FC230B7352C0EF5DAF07A0594440CB73F2A01E7352C0950BBC3B8F594440A27B15FE4C7352C0B1A44562C1594440,0,21,http://nyc.pediacities.com/Resource/PostalCode/11451,081,36,Queens,NY,Jamaica,11451,40.700901852,-73.799319805
